city_name,magnitude_of_delay,delay_in_seconds,affected_roads,record_date,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_precipitation,avg_rain,incidents,record_date_month,record_date_day,record_date_hour,dayYear,record_date_isWeekend,record_date_day_sin,record_date_day_cos,record_date_hour_sin,record_date_hour_cos,jogoGuimaraes,confinamento,N101,R206,N105,N206,N309,IC5,N310,EM579,N207-4,Affected_Count
Guimaraes,1.0,0,",",2021-03-15 23:00:00,0,0.32352941176470584,0.45714285714285907,0.6808510638297872,1.0,0.0,0,0,3,15,23,74,0,0.10116832198743272,-0.994869323391895,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,0,0,0,0,0
Guimaraes,1.0,385,"N101,",2021-12-25 18:00:00,0,0.32352941176470584,0.28571428571428825,0.9042553191489362,1.0,0.0,0,0,12,25,18,359,1,-0.9377521321470804,0.3473052528448203,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,0,0,1
Guimaraes,1.0,69,",",2021-03-12 15:00:00,2,0.38235294117647056,0.8000000000000007,0.6170212765957447,0.0,0.0,0,1,3,12,15,71,0,0.6513724827222223,-0.7587581226927909,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,0,0,0,0,0,0
Guimaraes,2.0,2297,"N101,R206,N105,N101,N101,N101,N101,N101,N101,N101,N101",2021-09-29 09:00:00,2,0.4117647058823529,0.8857142857142861,0.7340425531914894,1.0,0.0,0,4,9,29,9,272,0,-0.3943558551133187,0.9189578116202306,0.7071067811865476,-0.7071067811865475,0,0,9,1,1,0,0,0,0,0,0,11
Guimaraes,1.0,0,"N101,N101,N101,N101,N101,",2021-06-13 11:00:00,2,0.7647058823529411,0.6571428571428584,0.4893617021276596,1.0,0.0,0,3,6,13,11,164,1,0.48530196253108104,-0.8743466161445821,0.258819045102521,-0.9659258262890682,0,0,5,0,0,0,0,0,0,0,0,5
Guimaraes,1.0,0,"N101,N101,N101,N101,N101,N101,N101,N101",2021-12-07 23:00:00,0,0.23529411764705882,0.514285714285716,0.9361702127659575,0.0,0.0,0,2,12,7,23,341,0,0.9884683243281114,0.1514277775045767,-0.25881904510252157,0.9659258262890681,0,0,8,0,0,0,0,0,0,0,0,8
Guimaraes,1.0,0,"N101,N101,N101,N101,N101",2021-12-05 05:00:00,0,0.20588235294117646,0.8285714285714292,0.8617021276595744,1.0,0.0,0,1,12,5,5,339,1,0.8486442574947509,0.5289640103269624,0.9659258262890683,0.25881904510252074,0,0,5,0,0,0,0,0,0,0,0,5
Guimaraes,1.0,0,"N101,N101,N101,N101,N101,",2021-04-14 23:00:00,0,0.4411764705882353,0.4285714285714306,0.6914893617021277,2.0,0.0,0,3,4,14,23,104,0,0.29936312297335804,-0.9541392564000488,-0.25881904510252157,0.9659258262890681,0,0,5,0,0,0,0,0,0,0,0,5
Guimaraes,1.0,1368,"N101,N101,N101,N101,N101,N101,N101,N101,N101,",2021-05-01 12:00:00,2,0.38235294117647056,0.571428571428573,0.648936170212766,5.0,0.0,0,4,5,1,12,121,1,0.20129852008866006,0.9795299412524945,1.2246467991473532e-16,-1.0,0,0,9,0,0,0,0,0,0,0,0,9
Guimaraes,2.0,10431,"N101,N101,N206,N105,N309,N309,N101,N101,IC5,N101,N101,N105,N101,N206,N101,N101,N101,IC5,N101,N101,N105,N101,N101,N105,N309,N101,N101,N101,N101,IC5,N101,N105",2021-10-11 18:00:00,2,0.6470588235294118,0.6000000000000014,0.3617021276595745,0.0,0.0,0,4,10,11,18,284,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16,0,0,19,0,5,2,3,3,0,0,0,32
